Reference Seq,Position,Mutation Type,Sequence Change,Gene,Function,Product,GO Process,GO Component,Mut ID,Details,BOP1000_acnB A0 F0 I1 R1,BOP1000_acnB A1 F8 I1 R1,BOP1000_acnB A1 F18 I1 R1,BOP1000_acnB A1 F42 I0 R1,BOP1000_acnB A1 F42 I1 R1,BOP1000_acnB A2 F9 I1 R1,BOP1000_acnB A2 F20 I1 R1,BOP1000_acnB A2 F45 I0 R1,BOP1000_acnB A2 F45 I1 R1,BOP1000_acnB A3 F8 I1 R1,BOP1000_acnB A3 F17 I1 R1,BOP1000_acnB A3 F42 I0 R1,BOP1000_acnB A3 F42 I1 R1,BOP1000_acnB A4 F9 I1 R1,BOP1000_acnB A4 F20 I1 R1,BOP1000_acnB A4 F45 I0 R1,BOP1000_acnB A4 F45 I1 R1
NC_000913,"1,287,672",SNP,C→T,"tyrT, purU",,tRNA-Tyr/formyltetrahydrofolate hydrolase,,,1568221,intergenic (‑50/+110),,,,,,1.00,1.00,,1.00,,,1.00,,,,,
NC_000913,"4,296,060",SNP,C→T,"gltP, yjcO",,glutamate/aspartate:proton symporter/Sel1 family TPR-like repeat protein,,,1103621,intergenic (+266/+376),,,,0.32,,,,,,,,0.29,,,,0.36,
NC_000913,"4,184,543",SNP,C→A,rpoB,,"RNA polymerase, beta subunit",,,1112480,P1100Q (CCG→CAG),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
NC_000913,"2,173,363",DEL,Δ2 bp,"gatC, gatC",,"pseudogene, galactitol-specific enzyme IIC component of PTS;transport; Transport of small molecules: Carbohydrates, organic acids, alcohols; PTS system galactitol-specific enzyme IIC/pseudogene, galactitol-specific enzyme IIC component of PTS;transport; Transport of small molecules: Carbohydrates, organic acids, alcohols; PTS system galactitol-specific enzyme IIC",,,566843,intergenic (‑1/+1),1.00,1.00,1.00,,1.00,1.00,1.00,,1.00,1.00,1.00,,1.00,1.00,1.00,,1.00
NC_000913,"2,304,649",SNP,C→T,"eco, mqo",,"ecotin, a serine protease inhibitor/malate dehydrogenase, FAD/NAD(P)-binding domain",,,1114470,intergenic (+256/+459),,,,0.24,,,,,,,,,,,,,
NC_000913,"1,978,503",DEL,Δ776 bp,"insB1,insA",,"insB1,insA",,,1102505,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
NC_000913,"3,815,859",DEL,Δ82 bp,"[rph],[rph]",,"[rph],[rph]",,,1102506,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
NC_000913,"2,132,787",SNP,A→C,wcaA,,putative glycosyl transferase,,,770909,I204S (ATC→AGC),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
NC_000913,"4,001,645",DEL,Δ5 bp,corA,,magnesium/nickel/cobalt transporter,,,1112479,coding (220‑224/951 nt),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
NC_000913,"3,693,326",SNP,C→G,bcsA,,"cellulose synthase, catalytic subunit",,,1568245,R637R (CGG→CGC),,,,1.00,,,,,,,,,,1.00,1.00,,1.00
NC_000913,"755,400",SNP,G→A,sdhC,,"succinate dehydrogenase, membrane subunit, binds cytochrome b556",,,1568246,W75* (TGG→TAG),,,,,,,,1.00,,,,,1.00,,,,
NC_000913,"572,621",MOB,IS2 (+) +5 bp,ybcN,,DLP12 prophage; uncharacterized protein,,,1568247,coding (156‑160/456 nt),,,1.00,,,,,,,,,,,,,,
NC_000913,"1,335,035",DEL,Δ726 bp,"ymiA,yciX",,"ymiA,yciX",,,1568223,,,,,,,1.00,1.00,,1.00,,,1.00,,,,,
NC_000913,"4,296,381",INS,+GC,"gltP, yjcO",,glutamate/aspartate:proton symporter/Sel1 family TPR-like repeat protein,,,644028,intergenic (+587/+55),1.00,1.00,1.00,,1.00,1.00,1.00,,1.00,1.00,1.00,,1.00,1.00,1.00,,1.00
NC_000913,"1,335,153",DEL,Δ593 bp,"[ymiA],yciX",,"[ymiA],yciX",,,1568181,,,,1.00,,1.00,,,,,,,,,,,1.00,
