Reference Seq,Position,Mutation Type,Sequence Change,Gene,Function,Product,GO Process,GO Component,Details,MG1655-M9-NC_000913_3gb-stationary-37-D-arabinose2 A1 F9 I1 R1,MG1655-M9-NC_000913_3gb-stationary-37-D-arabinose2 A1 F48 I1 R1,MG1655-M9-NC_000913_3gb-stationary-37-D-arabinose2 A1 F78 I0 R1,MG1655-M9-NC_000913_3gb-stationary-37-D-arabinose2 A1 F78 I1 R1,MG1655-M9-NC_000913_3gb-stationary-37-D-arabinose2 A2 F6 I1 R1,MG1655-M9-NC_000913_3gb-stationary-37-D-arabinose2 A2 F27 I1 R1,MG1655-M9-NC_000913_3gb-stationary-37-D-arabinose2 A2 F70 I0 R1,MG1655-M9-NC_000913_3gb-stationary-37-D-arabinose2 A2 F70 I1 R1
NC_000913,3443906,SNP,A→C,secY,,preprotein translocase membrane subunit,,,F64L (TTT→TTG),,1,,,,,,
NC_000913,70406,DEL,Δ6 bp,araC,,ara regulon transcriptional activator; autorepressor,,,coding (20‑25/879 nt),,,0.7,1,,,,
NC_000913,2934616,SNP,G→T,fucP,,L-fucose transporter,,,A128S (GCA→TCA),,,,,,1,,
NC_000913,3622299,SNP,G→A,rhsB,,Rhs protein with DUF4329 family putative toxin domain; putative neighboring cell growth inhibitor,,,T1036T (ACG→ACA),,,,1,,,,
NC_000913,4296268,SNP,T→C,"gltP, yjcO",,glutamate/aspartate:proton symporter/Sel1 family TPR-like repeat protein,,,intergenic (+474/+168),,,0.29,,,,0.27,
NC_000913,3049511,DEL,Δ1 bp,gcvH,,glycine cleavage complex lipoylprotein,,,coding (39/390 nt),,,,,,,0.73,
NC_000913,1198576,MOB,IS2 (–) +5 bp,"ymfE, lit",,"e14 prophage; putative inner membrane protein/T4 phage exclusion protein; cell death peptidase, e14 prophage",,,intergenic (‑339/‑115),,,0.23,,,,,
NC_000913,3815859,DEL,Δ82 bp,"[rph],[rph]",,"[rph],[rph]",,,,,,0.5,1,,,,
NC_000913,2173363,DEL,Δ2 bp,"gatC, gatC",,"pseudogene, galactitol-specific enzyme IIC component of PTS;transport; Transport of small molecules: Carbohydrates, organic acids, alcohols; PTS system galactitol-specific enzyme IIC/pseudogene, galactitol-specific enzyme IIC component of PTS;transport; Transport of small molecules: Carbohydrates, organic acids, alcohols; PTS system galactitol-specific enzyme IIC",,,intergenic (‑1/+1),1,1,,1,1,1,,1
NC_000913,2173497,SNP,G→A,gatC,,"pseudogene, galactitol-specific enzyme IIC component of PTS;transport; Transport of small molecules: Carbohydrates, organic acids, alcohols; PTS system galactitol-specific enzyme IIC",,,pseudogene (782/914 nt),,,0.84,1,,,,
NC_000913,4296190,SNP,A→G,"gltP, yjcO",,glutamate/aspartate:proton symporter/Sel1 family TPR-like repeat protein,,,intergenic (+396/+246),,,,,,,0.22,
NC_000913,3560455,INS,+G,"glpR, glpR",,"pseudogene, DNA-binding transcriptional repressor;regulator; Energy metabolism, carbon: Anaerobic respiration; repressor of the glp operon/pseudogene, DNA-binding transcriptional repressor;regulator; Energy metabolism, carbon: Anaerobic respiration; repressor of the glp operon",,,intergenic (‑2/+1),1,1,1,1,1,1,1,1
NC_000913,4296381,INS,+GC,"gltP, yjcO",,glutamate/aspartate:proton symporter/Sel1 family TPR-like repeat protein,,,intergenic (+587/+55),1,1,,1,1,1,,1
NC_000913,2173361,DEL,Δ2 bp,gatC,,"pseudogene, galactitol-specific enzyme IIC component of PTS;transport; Transport of small molecules: Carbohydrates, organic acids, alcohols; PTS system galactitol-specific enzyme IIC",,,pseudogene (1‑2/442 nt),,,1,,,,1,
NC_000913,4296191,SNP,A→C,"gltP, yjcO",,glutamate/aspartate:proton symporter/Sel1 family TPR-like repeat protein,,,intergenic (+397/+245),,,0.21,,,,0.27,
NC_000913,924950,DEL,(CTG)3→2,clpA,,"ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity",,,coding (1687‑1689/2277 nt),,,,1,,,,
