"Position","Mutation Type","Sequence Change","Gene","Function","Product","GO Process","GO Component","Details","SSW GLU GLY A6 F162 I1 R1","SSW GLU GLY A5 F160 I0 R2","SSW GLU GLY A5 F160 I1 R1","SSW GLU GLY A6 F162 I0 R2","SSW GLU GLY A6 F162 I2 R1","SSW GLU GLY A5 F160 I2 R1","SSW GLU GLY A4 F165 I2 R1","SSW GLU GLY A5 F160 I3 R1","SSW GLU GLY A4 F165 I0 R1","SSW GLU GLY A5 F160 I0 R1","SSW GLU GLY A4 F165 I0 R2","SSW GLU GLY A6 F162 I0 R1","SSW GLU GLY A4 F165 I1 R1"
"4,296,380","INS","+CG","gltP, yjcO","","glutamate/aspartate:proton symporter/Sel1 family TPR-like repeat protein","","","intergenic (+586/+56)","","1.00","","1.00","","","","","1.00","1.00","1.00","1.00",""
"3,560,460","SNP","A→T","glpR","","pseudogene, DNA-binding transcriptional repressor,regulator, Energy metabolism, carbon: Anaerobic respiration, repressor of the glp operon","","","pseudogene (146/150 nt)","","","","","","","","","","","0.20","",""
"2,966,765","SNP","G→A","ptsP","","PEP-protein phosphotransferase enzyme I, GAF domain containing protein","","","P557L (CCG→CTG)","","","","","","","","","","","","","1.00"
"3,560,071","DEL","Δ2 bp","glpR","","pseudogene, DNA-binding transcriptional repressor,regulator, Energy metabolism, carbon: Anaerobic respiration, repressor of the glp operon","","","pseudogene (382‑383/606 nt)","","","","","","","","","","","","","1.00"
"528,897","MOB","IS5 (+) +4 bp","ybbD","","pseudogene","","","pseudogene (258‑261/491 nt)","","0.42","","","","","","","","0.35","","",""
"3,815,859","DEL","Δ82 bp","[rph], [rph]","","[rph], [rph]","","","","","0.90","1.00","","","1.00","","1.00","","0.83","","",""
"4,116,407","SNP","C→A","glpK","","glycerol kinase","","","M272I (ATG→ATT)","1.00","1.00","1.00","0.94","1.00","1.00","","1.00","","1.00","","1.00",""
"4,183,258","SNP","G→A","rpoB","","RNA polymerase, beta subunit","","","E672K (GAA→AAA)","1.00","1.00","1.00","1.00","1.00","1.00","","1.00","","1.00","","1.00",""
"4,296,190","SNP","A→G","gltP, yjcO","","glutamate/aspartate:proton symporter/Sel1 family TPR-like repeat protein","","","intergenic (+396/+246)","","0.20","","0.21","","","","","","","","0.29",""
"4,296,191","SNP","A→C","gltP, yjcO","","glutamate/aspartate:proton symporter/Sel1 family TPR-like repeat protein","","","intergenic (+397/+245)","","0.26","","0.21","","","","","","","","0.34",""
"3,558,995","DEL","Δ1,040 bp","[rtcR], [glpR]","","[rtcR], [glpR]","","","","","","1.00","","","","","1.00","","","","",""
"1,896,966","MOB","IS186 (+) +4 bp","sdaA","","L-serine dehydratase 1","","","coding (35‑38/1365 nt)","1.00","","","","","","","","","","","",""
"3,815,909","DEL","Δ10 bp","rph","","ribonuclease PH (defective),enzyme, Degradation of RNA, RNase PH","","","pseudogene (632‑641/669 nt)","1.00","","","","","","","","","","","",""
"3,815,809","DEL","Δ1 bp","pyrE, rph","","orotate phosphoribosyltransferase/ribonuclease PH (defective),enzyme, Degradation of RNA, RNase PH","","","intergenic (‑41/+25)","","","","0.62","","","","","","","","0.55",""
"2,245,130","SNP","A→T","cirA","","colicin IA outer membrane receptor and translocator, ferric iron-catecholate transporter","","","I547N (ATC→AAC)","","","","","1.00","","","","","","","",""
