Reference Seq,Position,Mutation Type,Sequence Change,Gene,Function,Product,GO Process,GO Component,Mut ID,Details,ndh A0 F0 I1 R1,ndh A13 F28 I0 R1,ndh A13 F47 I0 R1,ndh A13 F47 I1 R1,ndh A14 F26 I0 R1,ndh A14 F46 I0 R1,ndh A14 F46 I1 R1,ndh A15 F26 I0 R1,ndh A15 F46 I0 R1,ndh A15 F46 I1 R1,ndh A16 F26 I0 R1,ndh A16 F47 I0 R1,ndh A16 F47 I1 R1
NC_000913,"3,560,455",INS,+G,"glpR, glpR",,"pseudogene, DNA-binding transcriptional repressor;regulator; Energy metabolism, carbon: Anaerobic respiration; repressor of the glp operon/pseudogene, DNA-binding transcriptional repressor;regulator; Energy metabolism, carbon: Anaerobic respiration; repressor of the glp operon",,,564207,intergenic (‑2/+1),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
NC_000913,"757,259",INS,+T,sdhA,,"succinate dehydrogenase, flavoprotein subunit",,,1653617,coding (1353/1767 nt),,,,1.00,,,,,,,,,
NC_000913,"2,019,460",SNP,G→A,fliK,,flagellar hook-length control protein,,,669363,V359I (GTC→ATC),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
NC_000913,"751,736",SNP,G→A,ybgQ,,putative outer membrane protein,,,1653620,P145L (CCC→CTC),,,,,,,,,0.24,,,,
NC_000913,"756,548",SNP,C→A,sdhA,,"succinate dehydrogenase, flavoprotein subunit",,,1653621,N214K (AAC→AAA),,,,,,,,,0.32,,,,
NC_000913,"757,888",DEL,Δ1 bp,sdhB,,"succinate dehydrogenase, FeS subunit",,,1653622,coding (200/717 nt),,,,,,,,0.60,0.40,,,,
NC_000913,"759,249",SNP,C→A,sucA,,"2-oxoglutarate decarboxylase, thiamine triphosphate-binding",,,1653545,R182S (CGC→AGC),,,,,,,,,,,0.91,1.00,1.00
NC_000913,"2,470,427",SNP,C→A,gtrS,,"serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage",,,1111801,Q433K (CAA→AAA),,,,,0.23,,,0.21,,,,,
NC_000913,"2,173,363",DEL,Δ2 bp,"gatC, gatC",,"pseudogene, galactitol-specific enzyme IIC component of PTS;transport; Transport of small molecules: Carbohydrates, organic acids, alcohols; PTS system galactitol-specific enzyme IIC/pseudogene, galactitol-specific enzyme IIC component of PTS;transport; Transport of small molecules: Carbohydrates, organic acids, alcohols; PTS system galactitol-specific enzyme IIC",,,566843,intergenic (‑1/+1),1.00,,,1.00,,,1.00,,,1.00,,,1.00
NC_000913,"4,296,381",INS,+GC,"gltP, yjcO",,glutamate/aspartate:proton symporter/Sel1 family TPR-like repeat protein,,,644028,intergenic (+587/+55),1.00,,,1.00,,,1.00,,,1.00,,,1.00
NC_000913,"4,517,356",SNP,T→A,fecR,,anti-sigma transmembrane signal transducer for ferric citrate transport; periplasmic FecA-bound ferric citrate sensor and cytoplasmic FecI ECF sigma factor activator,,,1653589,Q121L (CAG→CTG),,,,,,,1.00,,,,,,
